Site,Moisture,OM,AP,Sand,Clay
St.A,29.36414135,4.960784169,16.51,46.13819834,4.885908681
St.B,40.82872526,6.886897658,0,21.29084615,23.79105824
St.C,38.06032909,8.016931518,0,21.42757772,19.34315436
St.D,41.56286412,5.574506792,17.32,23.32481862,24.19832254
St.F,46.25814048,7.668226664,0,9.667925279,54.18035457
St.G,49.55845995,7.548422745,0,15.04853594,44.12614183
St.H,53.11892578,6.184979804,0,3.684318781,62.39572438
