Site,Moisture,OM,AP,Sand,Clay
St.A,46.06155731,7.393897622,31.18914729,15.59067903,80.10872442
St.B,42.58929811,6.31833235,32.64263566,12.24440159,84.89573575
St.C,46.21266513,7.88050875,34.3248062,12.6106151,84.90004446
St.D,45.53418233,7.013690801,32.60891473,27.43790172,63.61432663
St.F,52.88459271,8.648295083,31.42906977,25.3248912,62.22917422
St.G,59.82810708,10.87822725,29.52713178,23.06293271,71.36604115
St.H,52.72214933,8.594058303,33.37868217,28.10256783,65.67707671
