Site,Moisture,OM,AP,Sand,Clay
St.A,9.282766667,9.673120749,0,1.218282488,30.97044445
St.B,9.962833333,9.057775718,0,0.743126686,47.03347945
St.C,9.783933333,9.177143029,33.06,2.032682726,41.27222114
St.D,10.3747,8.585486955,0,2.416217009,54.90308327
St.F,10.12506667,9.026662747,32.89,4.115890212,46.43027944
St.G,9.850866667,9.485109989,0,0.918755819,43.77433277
St.H,9.892333333,9.082841519,0,3.645268356,41.81054567
