Site,Moisture,OM,AP,Sand,Clay
St.A,23.58642382,5.185923431,15.56937984,81.85395264,13.68175635
St.B,22.49679898,4.9725935,15.89728682,79.39329862,17.54628673
St.C,24.13813438,4.308966442,16.89457364,86.67988653,10.96183604
St.D,19.37164741,3.591707442,16.99534884,81.48621255,14.81015942
St.F,26.03075319,4.909200423,14.02829457,69.91697574,20.89125449
St.G,21.28442235,4.474942958,14.46472868,84.4030732,11.60235009
St.H,21.80870422,5.039047885,11.79069767,89.10408235,8.998832061
